,glp_hPa,slp_hPa,precip-accum_mm,precip-hourmax_mm,precip-10minmax_mm,temp_C,temp-max_C,temp-min_C,rh_percent,rh-min_percent,wspd_ms,wspd-max_ms,wdir-max_deg,wspd-max-inst_ms,wdir-max-inst_deg,sunlit_h,snowfall-accum_cm,snowdepth-accum_cm,WeaCon-day830-17_x,xxx
2002-03-31,1016.0,1019.7,0.0,0.0,0.0,10.5,15.9,8.2,72,44,2.0,4.8,90.0,8.6,90.0,3.2,,,,
2002-04-01,1013.8,1017.5,,,,10.9,15.6,6.1,55,34,2.1,3.9,270.0,9.6,67.5,2.8,,,,
2002-04-02,1017.6,1021.4,,,,4.6,7.5,2.4,46,31,2.6,4.7,67.5,9.0,45.0,5.4,,,,
2002-04-03,1018.5,1022.3,,,,6.2,13.2,1.3,58,20,1.8,4.2,157.5,8.4,135.0,9.5,,,,
2002-04-04,1014.2,1018.0,0.0,0.0,0.0,7.6,13.4,0.7,78,47,1.4,3.4,247.5,6.1,225.0,0.8,,,,
2002-04-05,995.0,998.7,2.5,1.5,0.5,8.6,13.5,5.9,92,78,2.6,5.3,90.0,11.7,45.0,0.5,,,,
2002-04-06,1002.0,1005.7,,,,8.4,16.6,0.7,50,18,2.9,8.0,337.5,13.8,315.0,9.0,,,,
2002-04-07,1017.4,1021.2,,,,6.2,13.1,-0.6,39,16,3.2,7.3,292.5,16.9,292.5,10.9,,,,
2002-04-08,1019.8,1023.6,,,,6.1,15.3,-3.4,66,30,2.5,6.5,202.5,12.0,180.0,10.9,,,,
2002-04-09,1008.3,1012.0,,0.0,0.0,9.4,19.4,-1.7,63,12,2.0,4.7,67.5,10.1,67.5,10.6,,,,
2002-04-10,1008.7,1012.4,0.0,0.0,0.0,10.7,16.5,5.4,54,12,3.2,8.7,315.0,17.5,315.0,10.5,,,,
2002-04-11,1009.8,1013.6,0.0,0.0,0.0,9.7,19.8,-0.1,52,18,2.2,6.0,45.0,14.3,45.0,8.2,,,,
2002-04-12,1017.6,1021.3,,,,8.3,16.0,-0.9,46,15,2.6,6.0,337.5,11.2,292.5,11.0,,,,
2002-04-13,1012.6,1016.3,,,,10.5,18.0,-0.5,60,27,2.7,5.1,180.0,9.6,180.0,8.5,,,,
2002-04-14,996.4,999.9,2.5,2.5,1.0,15.5,20.3,11.8,70,42,3.3,6.7,180.0,13.5,180.0,2.3,,,,
2002-04-15,1008.4,1012.1,,,,11.6,15.7,6.2,56,36,2.6,6.4,270.0,12.9,292.5,1.7,,,,
2002-04-16,1009.6,1013.3,,,,11.8,21.0,2.9,67,29,2.7,7.6,225.0,15.8,225.0,5.9,,,,
2002-04-17,1008.2,1011.9,0.0,0.0,0.0,13.5,19.5,7.6,34,11,3.7,8.2,180.0,17.1,180.0,8.5,,,,
2002-04-18,1009.4,1013.1,,,,11.2,16.9,3.9,38,13,3.7,6.4,202.5,12.1,270.0,10.6,,,,
2002-04-19,1011.8,1015.5,,,,11.7,19.6,5.1,42,7,4.4,9.5,292.5,20.6,292.5,11.2,,,,
2002-04-20,1005.0,1008.6,,,,13.1,21.2,0.9,69,36,4.8,11.3,202.5,25.0,202.5,5.8,,,,
2002-04-21,1000.4,1004.0,0.0,0.0,0.0,13.0,17.0,8.7,71,55,3.6,6.9,90.0,14.2,90.0,1.4,,,,
2002-04-22,1000.4,1004.1,5.5,3.5,1.0,6.4,10.8,1.7,82,47,1.9,4.3,0.0,11.8,0.0,1.7,,,,
2002-04-23,1009.7,1013.4,0.0,0.0,0.0,8.1,14.0,1.5,47,18,3.3,7.0,337.5,12.9,0.0,9.3,,,,
2002-04-24,1019.1,1022.9,,,,6.4,11.9,-0.7,61,32,2.4,4.0,90.0,8.8,22.5,9.8,,,,
2002-04-25,1016.3,1020.0,0.5,0.5,0.5,8.3,12.6,4.2,79,55,1.7,3.6,315.0,6.3,315.0,,,,,
2002-04-26,1001.9,1005.6,31.0,9.5,2.5,9.3,11.1,6.1,91,54,2.0,6.1,337.5,12.2,270.0,,,,,
2002-04-27,1016.1,1019.8,,,,7.2,14.6,-1.5,57,21,2.3,6.2,157.5,11.5,157.5,11.3,,,,
2002-04-28,1012.9,1016.6,4.0,2.0,0.5,11.3,15.8,6.7,88,75,2.7,7.1,157.5,14.3,157.5,,,,,
2002-04-29,1001.4,1005.0,10.0,5.5,1.5,16.4,22.1,11.4,65,22,3.8,7.1,157.5,15.7,270.0,8.3,,,,
2002-04-30,1006.0,1009.7,1.5,1.5,0.5,12.8,18.1,9.8,74,58,3.2,5.2,90.0,9.9,45.0,2.9,,,,
